0, 121.0
1, 128.0
2, 135.0
3, 134.0
4, 138.0
5, 140.0
6, 143.0
7, 143.0
8, 143.0
9, 143.0
10, 144.0
11, 148.0
12, 149.0
13, 148.0
14, 151.0
15, 153.0
16, 153.0
17, 155.0
18, 157.0
19, 156.0
20, 159.0
21, 159.0
22, 160.0
23, 163.0
24, 162.0
25, 163.0
26, 164.0
27, 164.0
28, 165.0
29, 166.0
30, 167.0
31, 168.0
32, 168.0
33, 169.0
34, 171.0
35, 172.0
36, 172.0
37, 170.0
38, 170.0
39, 173.0
40, 172.0
41, 171.0
42, 172.0
43, 172.0
44, 173.0
45, 173.0
46, 174.0
47, 174.0
48, 174.0
49, 176.0
50, 177.0
51, 174.0
52, 175.0
53, 176.0
54, 176.0
55, 175.0
56, 175.0
57, 175.0
58, 176.0
59, 176.0
60, 175.0
61, 176.0
62, 177.0
63, 176.0
64, 177.0
65, 177.0
66, 179.0
67, 179.0
68, 180.0
69, 179.0
70, 179.0
71, 180.0
72, 181.0
73, 181.0
74, 181.0
75, 181.0
76, 179.0
77, 181.0
78, 182.0
79, 181.0
80, 180.0
81, 181.0
82, 181.0
83, 181.0
84, 181.0
85, 181.0
86, 182.0
87, 182.0
88, 183.0
89, 183.0
90, 183.0
91, 183.0
92, 185.0
93, 183.0
94, 183.0
95, 184.0
96, 184.0
97, 183.0
98, 183.0
99, 183.0
